Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9385,2.89,1.692,0.365,0.5572,0.3678,3.306,"(3, 6, 9)"
Decision Tree Regressor,0.9842,2.9733,1.718,0.4305,0.5571,0.356,3.501,"(3, 6, 10)"
Decision Tree Regressor,0.8762,2.6089,1.6049,0.4769,0.5284,0.3426,3.366,"(3, 6, 12)"
Decision Tree Regressor,0.9245,2.8921,1.69,0.3578,0.5592,0.3773,3.312,"(3, 6, 13)"
Decision Tree Regressor,0.8218,2.3297,1.5147,0.5045,0.5249,0.3156,3.439,"(3, 6, 15)"
Decision Tree Regressor,0.7619,2.1333,1.4528,0.5512,0.4952,0.3056,3.303,"(3, 6, 16)"
Decision Tree Regressor,0.7719,2.2696,1.4914,0.5523,0.4921,0.3055,3.284,"(3, 6, 17)"
Decision Tree Regressor,0.9985,3.2454,1.781,0.3817,0.5626,0.3741,3.265,"(3, 8, 9)"
Decision Tree Regressor,0.8774,2.8671,1.684,0.4984,0.5247,0.3166,3.286,"(3, 8, 10)"
Decision Tree Regressor,1.0374,3.2894,1.801,0.4212,0.5763,0.3873,3.298,"(3, 8, 12)"
Decision Tree Regressor,1.0444,3.4877,1.857,0.3501,0.6,0.4039,3.561,"(3, 8, 13)"
Decision Tree Regressor,1.1097,3.7703,1.9324,0.31,0.6098,0.3795,3.306,"(3, 8, 15)"
Decision Tree Regressor,0.8952,2.7065,1.6301,0.4759,0.5145,0.3469,3.242,"(3, 8, 16)"
Decision Tree Regressor,0.9382,2.8491,1.6707,0.5192,0.5426,0.3449,3.218,"(3, 8, 17)"
Decision Tree Regressor,1.0167,3.5659,1.8705,0.3527,0.5889,0.3545,3.419,"(3, 9, 10)"
Decision Tree Regressor,0.919,2.9292,1.6926,0.4565,0.5252,0.3645,3.298,"(3, 9, 12)"
Decision Tree Regressor,0.8812,2.7916,1.663,0.4092,0.5358,0.3461,3.231,"(3, 9, 13)"
Decision Tree Regressor,1.0402,3.7982,1.9407,0.2503,0.6009,0.3728,3.271,"(3, 9, 15)"
Decision Tree Regressor,0.8779,2.6982,1.627,0.4326,0.5352,0.3424,3.578,"(3, 9, 16)"
Decision Tree Regressor,0.9742,3.3396,1.8211,0.3598,0.5774,0.3621,3.316,"(3, 9, 17)"
Decision Tree Regressor,1.0382,3.3886,1.8285,0.4471,0.5732,0.3918,3.387,"(3, 10, 12)"
Decision Tree Regressor,0.8472,2.547,1.5914,0.5345,0.5336,0.3331,3.312,"(3, 10, 13)"
Decision Tree Regressor,0.9728,3.0765,1.7486,0.4728,0.5728,0.3634,3.426,"(3, 10, 15)"
Decision Tree Regressor,0.9246,2.8873,1.6907,0.4743,0.5576,0.3421,3.286,"(3, 10, 16)"
Decision Tree Regressor,1.061,3.7032,1.9141,0.3818,0.6016,0.3917,3.279,"(3, 10, 17)"
Decision Tree Regressor,1.029,3.4625,1.8435,0.3515,0.592,0.4042,3.258,"(3, 12, 13)"
Decision Tree Regressor,1.0556,4.0795,2.0094,0.2607,0.6023,0.3412,3.404,"(3, 12, 15)"
Decision Tree Regressor,0.9118,2.8875,1.6983,0.46,0.5326,0.3632,3.295,"(3, 12, 16)"
Decision Tree Regressor,0.9576,3.1006,1.7431,0.4558,0.5382,0.3784,3.268,"(3, 12, 17)"
Decision Tree Regressor,0.854,2.6144,1.6029,0.4757,0.5423,0.3421,3.366,"(3, 13, 15)"
Decision Tree Regressor,0.9559,3.1891,1.7819,0.3487,0.5696,0.3694,3.3,"(3, 13, 16)"
Decision Tree Regressor,0.9141,3.0883,1.7512,0.4121,0.5629,0.3464,3.31,"(3, 13, 17)"
Decision Tree Regressor,1.0422,3.6016,1.8803,0.3037,0.6172,0.3886,3.315,"(3, 15, 16)"
Decision Tree Regressor,0.9431,3.0619,1.7386,0.4401,0.5694,0.3332,3.267,"(3, 15, 17)"
Decision Tree Regressor,0.8634,2.6458,1.6128,0.5068,0.5317,0.3259,3.28,"(3, 16, 17)"
Decision Tree Regressor,1.0453,3.4147,1.8391,0.3946,0.5821,0.3633,3.294,"(4, 5, 6)"
Decision Tree Regressor,1.1595,4.1259,2.0192,0.3315,0.6146,0.3589,3.221,"(4, 5, 8)"
Decision Tree Regressor,1.0346,3.5044,1.8689,0.3923,0.5716,0.3381,3.254,"(4, 5, 9)"
Decision Tree Regressor,1.0738,3.7503,1.929,0.426,0.577,0.3547,3.383,"(4, 5, 10)"
Decision Tree Regressor,1.0225,3.3769,1.8266,0.4649,0.5541,0.3461,3.225,"(4, 5, 12)"
Decision Tree Regressor,1.0062,3.5611,1.8685,0.402,0.5733,0.3564,3.369,"(4, 5, 13)"
Decision Tree Regressor,1.0339,3.4548,1.8548,0.4378,0.5597,0.3442,3.299,"(4, 5, 15)"
Decision Tree Regressor,1.0042,3.3491,1.8261,0.4371,0.5597,0.3385,3.355,"(4, 5, 16)"
Decision Tree Regressor,1.0081,3.581,1.8843,0.4473,0.5499,0.3285,3.302,"(4, 5, 17)"
Decision Tree Regressor,0.9429,2.8944,1.6884,0.4855,0.5576,0.3576,3.52,"(4, 6, 8)"
Decision Tree Regressor,0.9018,2.8002,1.6538,0.4903,0.5132,0.3596,3.285,"(4, 6, 9)"
Decision Tree Regressor,1.0176,3.5267,1.8662,0.4176,0.5703,0.367,3.46,"(4, 6, 10)"
Decision Tree Regressor,0.9147,2.9465,1.6974,0.4997,0.5403,0.3515,3.27,"(4, 6, 12)"
Decision Tree Regressor,0.8721,2.8557,1.6831,0.4781,0.5277,0.3118,3.281,"(4, 6, 13)"
Decision Tree Regressor,0.8672,2.7542,1.6516,0.5252,0.5255,0.3188,3.379,"(4, 6, 15)"
Decision Tree Regressor,1.0814,3.4797,1.8545,0.3706,0.5837,0.4,3.219,"(4, 6, 16)"
Decision Tree Regressor,0.9365,3.167,1.767,0.4809,0.5477,0.3263,3.398,"(4, 6, 17)"
Decision Tree Regressor,1.0622,3.8462,1.9495,0.3602,0.5692,0.3699,3.291,"(4, 8, 9)"
Decision Tree Regressor,1.1082,4.1207,2.0158,0.379,0.6026,0.3627,3.366,"(4, 8, 10)"
Decision Tree Regressor,0.9563,3.1726,1.7716,0.5241,0.5371,0.3746,3.264,"(4, 8, 12)"
Decision Tree Regressor,0.8392,2.7538,1.6506,0.5362,0.5246,0.2966,3.44,"(4, 8, 13)"
Decision Tree Regressor,1.1646,4.1646,2.0323,0.3451,0.6249,0.3923,3.283,"(4, 8, 15)"
Decision Tree Regressor,1.1154,3.6872,1.9172,0.3906,0.5995,0.3988,3.338,"(4, 8, 16)"
Decision Tree Regressor,0.937,3.2432,1.7832,0.4805,0.5433,0.3153,3.313,"(4, 8, 17)"
Decision Tree Regressor,1.1895,4.6436,2.1453,0.2782,0.6165,0.3827,3.395,"(4, 9, 10)"
Decision Tree Regressor,1.1028,4.1695,2.0351,0.3315,0.6087,0.3819,3.368,"(4, 9, 12)"
Decision Tree Regressor,0.8524,2.5971,1.5849,0.5478,0.5181,0.3261,3.247,"(4, 9, 13)"
Decision Tree Regressor,1.0427,3.5253,1.8659,0.4039,0.5775,0.3511,3.307,"(4, 9, 15)"
Decision Tree Regressor,0.9522,3.0582,1.7409,0.4798,0.5464,0.3604,3.244,"(4, 9, 16)"
Decision Tree Regressor,1.0647,3.9716,1.9822,0.3647,0.6097,0.3553,3.294,"(4, 9, 17)"
Decision Tree Regressor,1.1874,4.2237,2.0407,0.3984,0.6279,0.4159,3.3,"(4, 10, 12)"
Decision Tree Regressor,1.0549,3.7099,1.9071,0.4136,0.5695,0.3811,3.262,"(4, 10, 13)"
Decision Tree Regressor,1.0495,3.8077,1.9143,0.4374,0.5985,0.3217,3.275,"(4, 10, 15)"
Decision Tree Regressor,0.975,3.2171,1.7745,0.4969,0.5294,0.345,3.265,"(4, 10, 16)"
Decision Tree Regressor,0.9738,3.1864,1.7725,0.5407,0.5486,0.3271,3.26,"(4, 10, 17)"
Decision Tree Regressor,1.0295,3.5177,1.8649,0.447,0.5669,0.3923,3.259,"(4, 12, 13)"
Decision Tree Regressor,1.1087,3.8437,1.9556,0.4106,0.6212,0.3877,3.343,"(4, 12, 15)"
Decision Tree Regressor,1.0048,3.2533,1.7863,0.4653,0.5776,0.3627,3.546,"(4, 12, 16)"
Decision Tree Regressor,1.0321,3.6413,1.8919,0.4632,0.5644,0.3635,3.268,"(4, 12, 17)"
Decision Tree Regressor,0.9458,2.9336,1.7007,0.5111,0.5518,0.3605,3.434,"(4, 13, 15)"
Decision Tree Regressor,0.8994,2.9159,1.7002,0.492,0.5487,0.3431,3.262,"(4, 13, 16)"
Decision Tree Regressor,0.9178,3.0731,1.7399,0.4986,0.5453,0.3399,3.327,"(4, 13, 17)"
Decision Tree Regressor,1.1743,3.8492,1.9553,0.3621,0.6195,0.4102,3.279,"(4, 15, 16)"
Decision Tree Regressor,0.9158,2.9728,1.7131,0.5349,0.5193,0.3225,3.272,"(4, 15, 17)"
Decision Tree Regressor,0.9609,3.2862,1.8036,0.4853,0.5535,0.3318,3.242,"(4, 16, 17)"
Decision Tree Regressor,0.9922,3.1365,1.7629,0.4241,0.5495,0.3621,3.288,"(5, 6, 8)"
Decision Tree Regressor,0.8659,2.5251,1.5847,0.533,0.5047,0.337,3.262,"(5, 6, 9)"
Decision Tree Regressor,0.9454,2.8457,1.6832,0.512,0.5483,0.3131,3.283,"(5, 6, 10)"
Decision Tree Regressor,0.9091,2.7321,1.6503,0.5234,0.5268,0.3348,3.246,"(5, 6, 12)"
Decision Tree Regressor,0.8948,2.7474,1.6472,0.4839,0.5417,0.3254,3.314,"(5, 6, 13)"
Decision Tree Regressor,0.9056,2.7229,1.6388,0.4949,0.5358,0.3231,3.28,"(5, 6, 15)"
Decision Tree Regressor,0.9005,2.4718,1.5628,0.5493,0.527,0.3454,3.175,"(5, 6, 16)"
Decision Tree Regressor,0.8768,2.6685,1.6246,0.5464,0.5109,0.3039,3.259,"(5, 6, 17)"
Decision Tree Regressor,1.0579,3.6484,1.8885,0.3667,0.5753,0.3596,3.055,"(5, 8, 9)"
Decision Tree Regressor,1.1848,4.2614,2.0462,0.343,0.6296,0.3773,3.26,"(5, 8, 10)"
Decision Tree Regressor,1.05,3.6404,1.8884,0.3941,0.5829,0.3523,3.481,"(5, 8, 12)"
Decision Tree Regressor,0.9333,3.0791,1.7411,0.4768,0.5254,0.3459,3.259,"(5, 8, 13)"
Decision Tree Regressor,1.2972,4.8093,2.1844,0.2021,0.6544,0.432,3.476,"(5, 8, 15)"
Decision Tree Regressor,0.974,3.1857,1.7635,0.4589,0.554,0.3243,3.258,"(5, 8, 16)"
Decision Tree Regressor,1.0667,3.5349,1.8652,0.4286,0.5573,0.3773,3.266,"(5, 8, 17)"
Decision Tree Regressor,1.1345,4.074,2.0085,0.3344,0.608,0.3538,3.343,"(5, 9, 10)"
Decision Tree Regressor,1.049,3.8111,1.9415,0.3988,0.5733,0.3549,3.267,"(5, 9, 12)"
Decision Tree Regressor,0.9588,3.1626,1.7634,0.4356,0.5603,0.3512,3.273,"(5, 9, 13)"
Decision Tree Regressor,0.9995,3.1439,1.7612,0.4713,0.559,0.3412,3.273,"(5, 9, 15)"
Decision Tree Regressor,0.9521,2.9695,1.713,0.4477,0.5485,0.3395,3.247,"(5, 9, 16)"
Decision Tree Regressor,0.9318,2.9708,1.7138,0.5006,0.5286,0.3227,3.284,"(5, 9, 17)"
Decision Tree Regressor,1.3238,4.7758,2.1823,0.2674,0.6419,0.4386,3.29,"(5, 10, 12)"
Decision Tree Regressor,1.2353,4.3938,2.0725,0.2725,0.6192,0.4147,3.26,"(5, 10, 13)"
Decision Tree Regressor,1.1804,4.2456,2.0406,0.3305,0.606,0.3866,3.258,"(5, 10, 15)"
Decision Tree Regressor,1.2478,4.3637,2.0684,0.3051,0.6328,0.4013,3.296,"(5, 10, 16)"
Decision Tree Regressor,1.0494,3.6377,1.8935,0.4489,0.577,0.3244,3.269,"(5, 10, 17)"
Decision Tree Regressor,1.0754,3.7802,1.943,0.3464,0.5984,0.4095,3.248,"(5, 12, 13)"
Decision Tree Regressor,1.1333,3.8013,1.9436,0.3912,0.5939,0.4056,3.261,"(5, 12, 15)"
Decision Tree Regressor,1.1231,3.8312,1.9486,0.3583,0.5993,0.3933,3.247,"(5, 12, 16)"
Decision Tree Regressor,1.1141,3.8038,1.9377,0.4137,0.6064,0.3647,3.259,"(5, 12, 17)"
Decision Tree Regressor,1.0544,3.3465,1.8148,0.4152,0.5885,0.3987,3.259,"(5, 13, 15)"
Decision Tree Regressor,0.8226,2.4121,1.5454,0.5595,0.5005,0.3097,3.262,"(5, 13, 16)"
Decision Tree Regressor,1.0644,3.595,1.8935,0.3889,0.5881,0.3898,3.241,"(5, 13, 17)"
Decision Tree Regressor,1.0157,3.1413,1.7545,0.4536,0.556,0.3409,3.294,"(5, 15, 16)"
Decision Tree Regressor,1.126,3.7987,1.9352,0.4199,0.6178,0.3638,3.253,"(5, 15, 17)"
Decision Tree Regressor,1.1332,3.8982,1.9555,0.3764,0.605,0.4037,3.347,"(5, 16, 17)"
Decision Tree Regressor,0.9408,2.901,1.694,0.4731,0.5397,0.3504,3.251,"(6, 8, 9)"
Decision Tree Regressor,0.9075,3.1401,1.7643,0.4728,0.549,0.3074,3.254,"(6, 8, 10)"
Decision Tree Regressor,1.0241,3.333,1.8088,0.3978,0.583,0.3973,3.264,"(6, 8, 12)"
Decision Tree Regressor,0.8995,2.6923,1.6248,0.5098,0.5322,0.3749,3.341,"(6, 8, 13)"
Decision Tree Regressor,0.9876,3.0233,1.7287,0.4579,0.572,0.359,3.282,"(6, 8, 15)"
Decision Tree Regressor,0.8217,2.4121,1.5357,0.5731,0.4992,0.3137,3.376,"(6, 8, 16)"
Decision Tree Regressor,0.9074,2.8773,1.6831,0.5108,0.5418,0.326,3.269,"(6, 8, 17)"
Decision Tree Regressor,0.9465,3.0019,1.7303,0.4684,0.5445,0.3417,3.341,"(6, 9, 10)"
Decision Tree Regressor,0.9175,2.786,1.6642,0.4929,0.5409,0.3463,3.222,"(6, 9, 12)"
Decision Tree Regressor,0.7979,2.3383,1.5162,0.5322,0.4899,0.3319,3.288,"(6, 9, 13)"
Decision Tree Regressor,0.8572,2.4357,1.5562,0.5245,0.5214,0.3147,3.274,"(6, 9, 15)"
Decision Tree Regressor,0.823,2.5686,1.5961,0.4906,0.5175,0.3205,3.271,"(6, 9, 16)"
Decision Tree Regressor,0.9749,3.0582,1.7246,0.4437,0.5525,0.3757,3.306,"(6, 9, 17)"
Decision Tree Regressor,1.0105,3.5515,1.8822,0.4318,0.5709,0.3801,3.247,"(6, 10, 12)"
Decision Tree Regressor,0.8139,2.4131,1.5477,0.5733,0.5001,0.3084,3.263,"(6, 10, 13)"
Decision Tree Regressor,0.834,2.4553,1.5523,0.5936,0.51,0.2986,3.276,"(6, 10, 15)"
Decision Tree Regressor,0.9025,2.8598,1.6845,0.5148,0.5434,0.3037,3.347,"(6, 10, 16)"
Decision Tree Regressor,0.9181,3.0242,1.7276,0.5104,0.5502,0.3222,3.245,"(6, 10, 17)"
Decision Tree Regressor,0.8984,2.8702,1.6927,0.4616,0.5405,0.3657,3.419,"(6, 12, 13)"
Decision Tree Regressor,0.8462,2.5447,1.5855,0.5608,0.5125,0.3077,3.229,"(6, 12, 15)"
Decision Tree Regressor,0.8383,2.5234,1.5794,0.5482,0.5234,0.3305,3.522,"(6, 12, 16)"
Decision Tree Regressor,0.977,3.2621,1.8008,0.4658,0.5526,0.3718,3.27,"(6, 12, 17)"
Decision Tree Regressor,0.7437,2.007,1.4057,0.6156,0.4659,0.3098,3.46,"(6, 13, 15)"
Decision Tree Regressor,0.7273,2.0559,1.4255,0.5948,0.4591,0.298,3.257,"(6, 13, 16)"
Decision Tree Regressor,0.8252,2.5131,1.5764,0.5484,0.5061,0.3331,3.221,"(6, 13, 17)"
Decision Tree Regressor,0.8061,2.3138,1.5122,0.5678,0.5174,0.3193,3.299,"(6, 15, 16)"
Decision Tree Regressor,0.7684,2.2564,1.4963,0.6036,0.4913,0.2803,3.406,"(6, 15, 17)"
Decision Tree Regressor,0.979,3.1275,1.7459,0.4597,0.5584,0.365,3.157,"(6, 16, 17)"
Decision Tree Regressor,1.0311,3.3752,1.826,0.4645,0.554,0.371,3.293,"(8, 9, 10)"
Decision Tree Regressor,0.9331,2.9544,1.6963,0.5156,0.5299,0.3562,3.27,"(8, 9, 12)"
Decision Tree Regressor,0.8333,2.7545,1.6448,0.5238,0.5232,0.3115,3.428,"(8, 9, 13)"
Decision Tree Regressor,1.0232,3.3348,1.8008,0.4325,0.5694,0.4016,3.273,"(8, 9, 15)"
Decision Tree Regressor,0.9241,2.8856,1.6864,0.4885,0.539,0.3326,3.28,"(8, 9, 16)"
Decision Tree Regressor,0.9137,3.0229,1.7305,0.5096,0.5317,0.308,3.285,"(8, 9, 17)"
Decision Tree Regressor,1.1512,4.1989,2.0364,0.3781,0.5924,0.3996,3.268,"(8, 10, 12)"
Decision Tree Regressor,0.7952,2.5405,1.5856,0.5919,0.483,0.2754,3.288,"(8, 10, 13)"
Decision Tree Regressor,1.235,4.5995,2.132,0.2848,0.6406,0.4207,3.256,"(8, 10, 15)"
Decision Tree Regressor,1.0237,3.568,1.8503,0.4307,0.5604,0.378,3.441,"(8, 10, 16)"
Decision Tree Regressor,0.9575,3.3818,1.8318,0.4979,0.5564,0.3283,3.245,"(8, 10, 17)"
Decision Tree Regressor,0.9591,3.1777,1.773,0.4918,0.552,0.3764,3.275,"(8, 12, 13)"
Decision Tree Regressor,1.2494,4.5206,2.1152,0.2847,0.6435,0.4493,3.259,"(8, 12, 15)"
Decision Tree Regressor,1.3041,4.6932,2.1636,0.2317,0.6616,0.504,3.452,"(8, 12, 16)"
Decision Tree Regressor,1.0309,3.698,1.9111,0.4376,0.5737,0.3738,3.268,"(8, 12, 17)"
Decision Tree Regressor,0.9364,3.2333,1.7899,0.4416,0.555,0.3395,3.33,"(8, 13, 15)"
Decision Tree Regressor,1.1147,3.659,1.8941,0.3598,0.6135,0.4243,3.276,"(8, 13, 16)"
Decision Tree Regressor,0.8362,2.6629,1.6237,0.5485,0.5182,0.3318,3.293,"(8, 13, 17)"
Decision Tree Regressor,1.2487,4.3785,2.0805,0.251,0.6503,0.4474,3.25,"(8, 15, 16)"
Decision Tree Regressor,1.1596,4.2624,2.0587,0.3362,0.6297,0.3902,3.386,"(8, 15, 17)"
Decision Tree Regressor,1.254,4.4965,2.1116,0.2838,0.6577,0.4459,3.251,"(8, 16, 17)"
Decision Tree Regressor,1.0525,3.5098,1.8655,0.4523,0.5707,0.3841,3.29,"(9, 10, 12)"
Decision Tree Regressor,0.9518,3.2255,1.7911,0.4699,0.5725,0.3451,3.241,"(9, 10, 13)"
Decision Tree Regressor,1.0098,3.6211,1.8928,0.4254,0.5851,0.3375,3.257,"(9, 10, 15)"
Decision Tree Regressor,1.0371,3.521,1.8528,0.4129,0.5866,0.3727,3.25,"(9, 10, 16)"
Decision Tree Regressor,1.0745,3.8765,1.9604,0.4188,0.6078,0.3761,3.268,"(9, 10, 17)"
Decision Tree Regressor,0.9159,3.0965,1.7483,0.4478,0.5382,0.3611,3.249,"(9, 12, 13)"
Decision Tree Regressor,1.0089,3.2584,1.7807,0.4752,0.5707,0.3733,3.275,"(9, 12, 15)"
Decision Tree Regressor,0.9293,2.9655,1.7097,0.4806,0.5351,0.3722,3.296,"(9, 12, 16)"
Decision Tree Regressor,1.0684,3.7316,1.9288,0.4042,0.5789,0.4256,3.248,"(9, 12, 17)"
Decision Tree Regressor,0.8693,2.528,1.5592,0.5218,0.5277,0.3291,3.275,"(9, 13, 15)"
Decision Tree Regressor,0.8316,2.4699,1.5638,0.5199,0.5238,0.3354,3.271,"(9, 13, 16)"
Decision Tree Regressor,0.8739,2.8599,1.673,0.5152,0.5396,0.3468,3.294,"(9, 13, 17)"
Decision Tree Regressor,0.9496,3.0995,1.7493,0.434,0.55,0.3577,3.255,"(9, 15, 16)"
Decision Tree Regressor,0.9318,3.2059,1.7705,0.4591,0.5497,0.3452,3.452,"(9, 15, 17)"
Decision Tree Regressor,0.9543,3.184,1.7684,0.4555,0.5694,0.3636,3.268,"(9, 16, 17)"
Decision Tree Regressor,0.9416,3.055,1.7311,0.5047,0.5571,0.3493,3.331,"(10, 12, 13)"
Decision Tree Regressor,1.1946,4.306,2.0698,0.3563,0.6304,0.4328,3.266,"(10, 12, 15)"
Decision Tree Regressor,1.1562,4.1726,2.0196,0.3654,0.6057,0.4122,3.361,"(10, 12, 16)"
Decision Tree Regressor,1.3096,5.0289,2.2239,0.2823,0.6736,0.4623,3.281,"(10, 12, 17)"
Decision Tree Regressor,1.0647,3.7935,1.9306,0.3764,0.6036,0.395,3.262,"(10, 13, 15)"
Decision Tree Regressor,0.9327,3.1745,1.7736,0.4539,0.5653,0.3433,3.266,"(10, 13, 16)"
Decision Tree Regressor,0.9215,3.2106,1.7574,0.4981,0.5417,0.3372,3.269,"(10, 13, 17)"
Decision Tree Regressor,1.1955,4.4606,2.0911,0.2744,0.6212,0.439,3.402,"(10, 15, 16)"
Decision Tree Regressor,0.9744,3.431,1.8438,0.4768,0.5544,0.3341,3.277,"(10, 15, 17)"
Decision Tree Regressor,1.0938,3.9472,1.9776,0.3862,0.5955,0.3907,3.27,"(10, 16, 17)"
Decision Tree Regressor,0.9795,3.4385,1.8428,0.4145,0.5868,0.3615,3.257,"(12, 13, 15)"
Decision Tree Regressor,0.9461,2.8778,1.675,0.4952,0.5362,0.3963,3.258,"(12, 13, 16)"
Decision Tree Regressor,0.8769,2.755,1.6495,0.5624,0.5134,0.3472,3.263,"(12, 13, 17)"
Decision Tree Regressor,1.0132,3.2705,1.8058,0.4439,0.5848,0.3992,3.238,"(12, 15, 16)"
Decision Tree Regressor,0.9888,3.2836,1.7924,0.4872,0.5745,0.3719,3.268,"(12, 15, 17)"
Decision Tree Regressor,0.8168,2.5788,1.5903,0.5818,0.5072,0.3012,3.259,"(12, 16, 17)"
Decision Tree Regressor,1.0511,3.3712,1.8253,0.3824,0.5924,0.3927,3.262,"(13, 15, 16)"
Decision Tree Regressor,0.9204,3.0694,1.7251,0.4947,0.5551,0.339,3.244,"(13, 15, 17)"
Decision Tree Regressor,1.0399,3.5976,1.8758,0.39,0.58,0.4043,3.263,"(13, 16, 17)"
Decision Tree Regressor,1.183,4.2943,2.0609,0.3024,0.6346,0.4195,3.272,"(15, 16, 17)"
Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.8977,2.7018,1.6341,0.5341,0.5349,0.3038,3.887,"(1, 2, 3)"
Decision Tree Regressor,1.0966,3.7113,1.917,0.4273,0.5786,0.3843,3.96,"(1, 2, 4)"
Decision Tree Regressor,1.1153,3.7833,1.9356,0.3897,0.596,0.3955,3.857,"(1, 2, 5)"
Decision Tree Regressor,1.0829,3.6049,1.8886,0.3864,0.5923,0.3925,3.819,"(1, 2, 6)"
Decision Tree Regressor,0.9613,3.2978,1.8071,0.4808,0.5418,0.3385,3.927,"(1, 2, 8)"
Decision Tree Regressor,0.9917,3.3635,1.8294,0.4315,0.5697,0.3526,3.929,"(1, 2, 9)"
Decision Tree Regressor,1.1434,3.8916,1.9609,0.4301,0.5934,0.3887,3.911,"(1, 2, 10)"
Decision Tree Regressor,0.847,2.8163,1.6408,0.5771,0.4954,0.2745,3.891,"(1, 2, 12)"
Decision Tree Regressor,0.8549,2.6976,1.6333,0.5528,0.5129,0.3194,3.869,"(1, 2, 13)"
Decision Tree Regressor,1.0077,3.5703,1.8742,0.4242,0.5715,0.3402,3.914,"(1, 2, 15)"
Decision Tree Regressor,0.8303,2.6084,1.6005,0.5609,0.5016,0.3214,3.877,"(1, 2, 16)"
Decision Tree Regressor,0.9352,3.1635,1.7728,0.5207,0.553,0.3265,3.899,"(1, 2, 17)"
Decision Tree Regressor,1.0039,3.4356,1.8342,0.4068,0.5645,0.3308,3.965,"(1, 3, 4)"
Decision Tree Regressor,1.0101,3.4391,1.8323,0.3894,0.5832,0.3413,3.922,"(1, 3, 5)"
Decision Tree Regressor,0.9012,2.5584,1.5915,0.5032,0.5225,0.3461,3.931,"(1, 3, 6)"
Decision Tree Regressor,0.9665,3.3065,1.7715,0.4158,0.5469,0.3271,4.245,"(1, 3, 8)"
Decision Tree Regressor,1.1096,3.898,1.9563,0.2654,0.592,0.3881,3.993,"(1, 3, 9)"
Decision Tree Regressor,0.9146,2.9848,1.7165,0.521,0.5273,0.3152,3.856,"(1, 3, 10)"
Decision Tree Regressor,1.0423,3.5136,1.8593,0.4316,0.5771,0.3819,3.949,"(1, 3, 12)"
Decision Tree Regressor,0.8016,2.3517,1.5303,0.5479,0.5021,0.3029,3.876,"(1, 3, 13)"
Decision Tree Regressor,0.9111,3.1723,1.7645,0.4228,0.5468,0.3131,3.863,"(1, 3, 15)"
Decision Tree Regressor,0.8681,2.7374,1.6365,0.5032,0.5252,0.3218,3.887,"(1, 3, 16)"
Decision Tree Regressor,0.9561,3.0992,1.7361,0.4702,0.5326,0.3567,3.875,"(1, 3, 17)"
Decision Tree Regressor,1.1149,3.8158,1.9423,0.3888,0.5803,0.3544,3.857,"(1, 4, 5)"
Decision Tree Regressor,0.8966,3.0238,1.7249,0.4831,0.5302,0.3092,4.065,"(1, 4, 6)"
Decision Tree Regressor,1.0215,3.3908,1.8268,0.4826,0.5698,0.3421,3.855,"(1, 4, 8)"
Decision Tree Regressor,1.0315,3.3611,1.8238,0.4644,0.5503,0.3544,3.864,"(1, 4, 9)"
Decision Tree Regressor,1.0092,3.5526,1.8793,0.4677,0.5686,0.3375,3.927,"(1, 4, 10)"
Decision Tree Regressor,0.9415,3.0997,1.7479,0.5461,0.5431,0.3319,3.88,"(1, 4, 12)"
Decision Tree Regressor,0.8615,2.7305,1.6434,0.5411,0.5286,0.2942,3.858,"(1, 4, 13)"
Decision Tree Regressor,0.9153,3.0716,1.7373,0.5212,0.5323,0.3024,3.92,"(1, 4, 15)"
Decision Tree Regressor,0.9558,2.9973,1.7169,0.5191,0.5305,0.3533,3.878,"(1, 4, 16)"
Decision Tree Regressor,1.0355,3.5169,1.8697,0.4667,0.5665,0.3606,3.884,"(1, 4, 17)"
Decision Tree Regressor,1.083,3.5005,1.8567,0.4029,0.5726,0.3622,3.896,"(1, 5, 6)"
Decision Tree Regressor,1.2997,4.6806,2.147,0.2209,0.6528,0.4209,3.903,"(1, 5, 8)"
Decision Tree Regressor,1.1198,3.9485,1.9686,0.332,0.6023,0.3604,3.942,"(1, 5, 9)"
Decision Tree Regressor,1.4761,5.374,2.314,0.1732,0.6712,0.5023,3.933,"(1, 5, 10)"
Decision Tree Regressor,1.1332,3.7968,1.9463,0.376,0.595,0.3903,3.892,"(1, 5, 12)"
Decision Tree Regressor,0.9785,3.2833,1.7973,0.4532,0.5694,0.3264,4.121,"(1, 5, 13)"
Decision Tree Regressor,1.1849,4.1716,2.035,0.3216,0.6299,0.3796,3.923,"(1, 5, 15)"
Decision Tree Regressor,1.1018,3.4949,1.8526,0.4293,0.5852,0.3956,3.938,"(1, 5, 16)"
Decision Tree Regressor,1.1933,4.2063,2.0402,0.3349,0.6156,0.3895,3.966,"(1, 5, 17)"
Decision Tree Regressor,0.8259,2.459,1.5593,0.5715,0.485,0.2881,3.889,"(1, 6, 8)"
Decision Tree Regressor,0.9304,2.9013,1.6936,0.4837,0.5429,0.3149,3.847,"(1, 6, 9)"
Decision Tree Regressor,0.9749,3.1801,1.7779,0.4724,0.5574,0.3209,4.052,"(1, 6, 10)"
Decision Tree Regressor,0.9742,3.0476,1.7332,0.4955,0.5419,0.3641,3.882,"(1, 6, 12)"
